Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
3,1,9626.08,-1896.21,-217.201,1.20718,0.805523,-0.575981,1.90796e-05,-2.01256e-05,-1.60484e-05,0,0,0,0,0,0,9137.17,-1153.4,3527.92,1.31128,1.21493,0.298159,0,0,0,0,0,0,0,0,0
3,2,9629.78,-1896.21,-215.391,1.30384,0.808064,-0.596512,1.91038e-05,-2.01141e-05,-1.60341e-05,0,0,0,0,0,0,9132.71,-1173.11,3540.09,1.26012,1.07513,0.235694,0,0,0,0,0,0,0,0,0
3,3,9631.32,-1894.21,-210.233,1.3596,0.798993,-0.605108,1.91515e-05,-2.01092e-05,-1.60131e-05,0,0,0,0,0,0,9123.8,-1189.97,3549.88,1.24784,0.990938,0.16194,0,0,0,0,0,0,0,0,0
3,4,9628.57,-1888.22,-198.382,1.33356,0.766701,-0.589831,1.92463e-05,-2.01178e-05,-1.59786e-05,0,0,0,0,0,0,9105.99,-1201.18,3554.92,1.31333,1.01796,0.0656091,0,0,0,0,0,0,0,0,0
3,5,9622.33,-1893.27,-193.719,1.34364,0.706658,-0.590259,1.93411e-05,-2.01265e-05,-1.59441e-05,0,0,0,0,0,0,9095.12,-1191.26,3559.54,1.33513,0.972219,0.0493534,0,0,0,0,0,0,0,0,0
3,6,9613.29,-1907.17,-194.807,1.38261,0.624413,-0.603249,1.94359e-05,-2.01351e-05,-1.59097e-05,0,0,0,0,0,0,9089.79,-1164.44,3563.85,1.32198,0.86826,0.097158,0,0,0,0,0,0,0,0,0
3,7,9598.44,-1918,-205.01,1.3724,0.673719,-0.582465,1.95308e-05,-2.01437e-05,-1.58752e-05,0,0,0,0,0,0,9105.05,-1151.43,3559.64,1.25017,0.806242,0.08829,0,0,0,0,0,0,0,0,0
3,8,9581.93,-1927.95,-217.816,1.34814,0.760612,-0.55203,1.96256e-05,-2.01523e-05,-1.58407e-05,0,0,0,0,0,0,9126.19,-1142.37,3553,1.16159,0.756206,0.0632299,0,0,0,0,0,0,0,0,0
3,9,9609.37,-1937.51,-199.965,1.22514,0.778294,-0.639309,1.97204e-05,-2.01609e-05,-1.58062e-05,0,0,0,0,0,0,9099.51,-1147.83,3553,1.15405,0.85991,-0.0547946,0,0,0,0,0,0,0,0,0
3,10,9631.03,-1947.68,-187.701,1.14538,0.772407,-0.712452,1.98152e-05,-2.01696e-05,-1.57717e-05,0,0,0,0,0,0,9076.23,-1152.21,3552.75,1.18323,0.955352,-0.141724,0,0,0,0,0,0,0,0,0
